组别,轮次,队伍A,队伍B,结果A,级数A,结果B,级数B,俱乐部A,俱乐部B
A,1,一马当先,龙马精神,L,5,W,A,南山掼蛋俱乐部,
A,1,破浪前行,秋风落叶,L,6,W,A,北岸华人协会,奥克兰掼协
A,2,一马当先,秋风落叶,W,A,L,10,南山掼蛋俱乐部,奥克兰掼协
A,2,龙马精神,破浪前行,L,5,W,A,,北岸华人协会
A,3,一马当先,破浪前行,L,7,W,A,南山掼蛋俱乐部,北岸华人协会
A,3,秋风落叶,龙马精神,W,A,L,7,奥克兰掼协,
B,1,万里挑一,龙行天下,W,A,L,7,中区康养中心,
B,1,盛夏光年,紫荆花开,W,A,L,9,,东区华人联谊会
B,2,万里挑一,紫荆花开,W,A,L,2,中区康养中心,东区华人联谊会
B,2,龙行天下,盛夏光年,W,A,L,5,,
B,3,万里挑一,盛夏光年,W,A,L,J,中区康养中心,
B,3,紫荆花开,龙行天下,L,5,W,A,东区华人联谊会,
C,1,乘风破浪,黑桃ACE,W,A,L,8,,东区华人联谊会
C,1,步步高升,纵横四海,L,7,W,A,,
C,2,乘风破浪,纵横四海,W,A,L,Q,,
C,2,黑桃ACE,步步高升,L,K,W,A,东区华人联谊会,
C,3,乘风破浪,步步高升,L,2,W,A,,
C,3,纵横四海,黑桃ACE,L,7,W,A,,东区华人联谊会
D,1,勇冠三军,黄金搭档,W,A,L,Q,西区体育俱乐部,奥克兰掼协
D,1,梅花三弄,群英荟萃,L,5,W,A,,北岸华人协会
D,2,勇冠三军,群英荟萃,W,A,L,9,西区体育俱乐部,北岸华人协会
D,2,黄金搭档,梅花三弄,W,A,L,7,奥克兰掼协,
D,3,勇冠三军,梅花三弄,W,A,L,K,西区体育俱乐部,
D,3,群英荟萃,黄金搭档,W,A,L,2,北岸华人协会,奥克兰掼协
E,1,北岸龙腾,鸿运当头,W,A,L,2,北岸华人协会,
E,1,春暖花开,西区猎豹,W,A,L,5,野火掼蛋联盟,西区体育俱乐部
E,2,北岸龙腾,西区猎豹,W,A,L,3,北岸华人协会,西区体育俱乐部
E,2,鸿运当头,春暖花开,L,9,W,A,,野火掼蛋联盟
E,3,北岸龙腾,春暖花开,W,A,L,5,北岸华人协会,野火掼蛋联盟
E,3,西区猎豹,鸿运当头,W,A,L,8,西区体育俱乐部,
F,1,南山闪电,野火燎原,L,9,W,A,南山掼蛋俱乐部,野火掼蛋联盟
F,1,风云双雄,星河万里,L,Q,W,A,风云掼蛋社,野火掼蛋联盟
F,2,南山闪电,星河万里,W,A,L,K,南山掼蛋俱乐部,野火掼蛋联盟
F,2,野火燎原,风云双雄,W,A,L,8,野火掼蛋联盟,风云掼蛋社
F,3,南山闪电,风云双雄,W,A,L,2,南山掼蛋俱乐部,风云掼蛋社
F,3,星河万里,野火燎原,W,A,L,4,野火掼蛋联盟,野火掼蛋联盟
G,1,南山雄狮,青春无悔,L,6,W,A,南山掼蛋俱乐部,奥克兰掼协
G,1,旭日东升,钻石风暴,W,A,L,5,风云掼蛋社,
G,2,南山雄狮,钻石风暴,W,A,L,8,南山掼蛋俱乐部,
G,2,青春无悔,旭日东升,L,8,W,A,奥克兰掼协,风云掼蛋社
G,3,南山雄狮,旭日东升,W,A,L,10,南山掼蛋俱乐部,风云掼蛋社
G,3,钻石风暴,青春无悔,L,Q,W,A,,奥克兰掼协
H,1,大吉大利,雷霆战队,L,9,W,A,北岸华人协会,奥克兰掼协
H,1,旗开得胜,雪山飞狐,W,A,L,5,野火掼蛋联盟,风云掼蛋社
H,2,大吉大利,雪山飞狐,L,K,W,A,北岸华人协会,风云掼蛋社
H,2,雷霆战队,旗开得胜,L,2,W,A,奥克兰掼协,野火掼蛋联盟
H,3,大吉大利,旗开得胜,L,5,W,A,北岸华人协会,野火掼蛋联盟
H,3,雪山飞狐,雷霆战队,L,4,W,A,风云掼蛋社,奥克兰掼协
